"DateTime","Players","Players Trend","Twitch Viewers"
"2019-11-27 04:10:00",315027,411590.379612928,42766
"2019-11-27 04:20:00",320820,411163.56482437754,42428
"2019-11-27 04:30:00",325178,410732.46500936005,40634
"2019-11-27 04:40:00",326900,410287.1593191614,41190
"2019-11-27 04:50:00",310246,409834.47169385775,40911
"2019-11-27 05:00:00",308735,409519.1097456226,41782
"2019-11-27 05:10:00",310633,409250.56122569815,38113
"2019-11-27 05:20:00",314150,409001.9290291195,37743
"2019-11-27 05:30:00",319183,408761.75547847146,36551
"2019-11-27 05:40:00",320737,408513.9773539798,37613
"2019-11-27 05:50:00",324918,408278.3338453914,37639
"2019-11-27 06:00:00",328242,408041.1511025395,38763
"2019-11-27 06:10:00",331046,407796.20106934407,38078
"2019-11-27 06:20:00",334479,407544.3425439481,37595
"2019-11-27 06:30:00",338165,407278.7504680101,39004
"2019-11-27 06:40:00",341140,407007.35510334524,41820
"2019-11-27 06:50:00",343798,406743.7760557283,42774
"2019-11-27 07:00:00",347030,406463.6766875895,40171
"2019-11-27 07:10:00",350236,406183.33197083126,40915
"2019-11-27 07:20:00",353916,405822.17087129696,41266
"2019-11-27 07:30:00",358669,405456.6815328708,42784
"2019-11-27 07:40:00",362362,405093.8099283901,43064
"2019-11-27 07:50:00",366205,404746.9235514251,44028
"2019-11-27 08:00:00",369358,404426.7098439586,43026
"2019-11-27 08:10:00",372371,404131.6555907229,41471
"2019-11-27 08:20:00",376131,403854.57759811694,47459
"2019-11-27 08:30:00",379477,403585.30070634134,50741
"2019-11-27 08:40:00",384036,403333.5433926031,50658
"2019-11-27 08:50:00",386166,403087.7578589569,52481
"2019-11-27 09:00:00",389124,402856.5085866414,52259
"2019-11-27 09:10:00",392997,402628.4116642526,51415
"2019-11-27 09:20:00",396555,402400.49392600823,52912
"2019-11-27 09:30:00",400657,402172.08942372195,55242
"2019-11-27 09:40:00",404066,401941.2184880768,48787
"2019-11-27 09:50:00",409557,401716.7038987422,50381
"2019-11-27 10:00:00",416510,401492.8590225013,50983
"2019-11-27 10:10:00",423562,401258.2980009976,52475
"2019-11-27 10:20:00",430820,401031.8890989309,53608
"2019-11-27 10:30:00",440059,400821.0664167421,54408
"2019-11-27 10:40:00",450289,400612.1710632485,55867
"2019-11-27 10:50:00",460695,400401.1503586767,53362
"2019-11-27 11:00:00",471913,400194.6329885346,56448
"2019-11-27 11:10:00",484648,399991.37806571834,58428
"2019-11-27 11:20:00",497704,399790.36500689597,58735
"2019-11-27 11:30:00",509486,399589.09918373515,56697
"2019-11-27 11:40:00",521227,399388.6294529787,56654
"2019-11-27 11:50:00",532721,399200.9132667107,56502
"2019-11-27 12:00:00",546383,399019.29073752894,57731
"2019-11-27 12:10:00",559071,398830.2725883713,57205
"2019-11-27 12:20:00",571330,398642.3272973791,56309
"2019-11-27 12:30:00",582647,398457.6029966413,58588
"2019-11-27 12:40:00",593668,398283.68856678775,61352
