"DateTime","Dota 2","Counter-Strike: Global Offensive","Grand Theft Auto V","PLAYERUNKNOWN'S BATTLEGROUNDS","Destiny 2"
"2011-09-22 00:00:00",194
"2011-09-23 00:00:00",240
"2011-09-24 00:00:00",
"2011-09-25 00:00:00",233
"2011-09-26 00:00:00",222
"2011-09-27 00:00:00",303
"2011-09-28 00:00:00",312
"2011-09-29 00:00:00",299
"2011-09-30 00:00:00",
"2011-10-01 00:00:00",
"2011-10-02 00:00:00",376
"2011-10-03 00:00:00",344
"2011-10-04 00:00:00",389
"2011-10-05 00:00:00",466
"2011-10-06 00:00:00",439
"2011-10-07 00:00:00",479
"2011-10-08 00:00:00",442
"2011-10-09 00:00:00",530
"2011-10-10 00:00:00",504
"2011-10-11 00:00:00",490
"2011-10-12 00:00:00",457
"2011-10-13 00:00:00",450
"2011-10-14 00:00:00",465
"2011-10-15 00:00:00",500
"2011-10-16 00:00:00",587
"2011-10-17 00:00:00",544
"2011-10-18 00:00:00",470
"2011-10-19 00:00:00",506
"2011-10-20 00:00:00",506
"2011-10-21 00:00:00",474
"2011-10-22 00:00:00",331
"2011-10-23 00:00:00",483
"2011-10-24 00:00:00",483
"2011-10-25 00:00:00",508
"2011-10-26 00:00:00",474
"2011-10-27 00:00:00",580
"2011-10-28 00:00:00",542
"2011-10-29 00:00:00",562
"2011-10-30 00:00:00",468
"2011-10-31 00:00:00",522
"2011-11-01 00:00:00",512
"2011-11-02 00:00:00",931
"2011-11-03 00:00:00",915
"2011-11-04 00:00:00",1002
"2011-11-05 00:00:00",1112
"2011-11-06 00:00:00",1089
"2011-11-07 00:00:00",912
"2011-11-08 00:00:00",1353
"2011-11-09 00:00:00",2190
"2011-11-10 00:00:00",2396
"2011-11-11 00:00:00",2822
"2011-11-12 00:00:00",2787
"2011-11-13 00:00:00",2921
"2011-11-14 00:00:00",3131
"2011-11-15 00:00:00",3182
"2011-11-16 00:00:00",3769
"2011-11-17 00:00:00",5463
"2011-11-18 00:00:00",7353
"2011-11-19 00:00:00",7504
"2011-11-20 00:00:00",7443
"2011-11-21 00:00:00",6702
"2011-11-22 00:00:00",7624
"2011-11-23 00:00:00",8324
"2011-11-24 00:00:00",8342
"2011-11-25 00:00:00",8342
"2011-11-26 00:00:00",11701
"2011-11-27 00:00:00",10915
"2011-11-28 00:00:00",9247
"2011-11-29 00:00:00",9733
"2018-03-24 00:00:00",730665,593672,79581,2747269
"2018-03-25 00:00:00",714845,583809,82618,2522023
"2018-03-26 00:00:00",620067,535668,66003,2331646
"2018-03-27 00:00:00",617144,524781,68111,2392156
"2018-03-28 00:00:00",623540,553566,71183,2350681
"2018-03-29 00:00:00",653680,545064,78047,2404535
"2018-03-30 00:00:00",667909,589158,89843,2634331
"2018-03-31 00:00:00",716912,544396,95390,2486554
"2018-04-01 00:00:00",683745,522474,89956,2347833
"2018-04-02 00:00:00",631933,510461,82754,2222281
"2018-04-03 00:00:00",614594,481121,74861,2226291
"2018-04-04 00:00:00",650948,493898,76670,2461794
"2018-04-05 00:00:00",646034,478398,73344,2433921
"2018-04-06 00:00:00",682642,515858,75649,2438825
"2018-04-07 00:00:00",733580,523827,78087,2339259
"2018-04-08 00:00:00",700501,502355,75745,2260520
"2018-04-09 00:00:00",643437,442875,60381,2150591
"2018-04-10 00:00:00",633481,441873,61105,2144661
"2018-04-11 00:00:00",616710,442723,60872,2124506
"2018-04-12 00:00:00",629749,449917,61874,1877716
"2018-04-13 00:00:00",658821,486166,69561,2428897
"2018-04-14 00:00:00",719957,501226,79226,2408125
"2018-04-15 00:00:00",684185,485242,74158,2222605
"2018-04-16 00:00:00",624873,446893,58816,1989003
"2018-04-17 00:00:00",626549,437164,58453,1945381
"2018-04-18 00:00:00",616732,427398,57223,1954853
"2018-04-19 00:00:00",621653,421633,54384,1992584
"2018-04-20 00:00:00",658317,461568,62050,2298063
"2018-04-21 00:00:00",721058,487714,70707,2306962
"2018-04-22 00:00:00",699732,492181,66986,2167270
"2018-04-23 00:00:00",626308,443309,53420,1976595
"2018-04-24 00:00:00",625567,428943,54124,1911117
"2018-04-25 00:00:00",608569,431212,52858,1940222
"2018-04-26 00:00:00",614264,429449,52308,1857855
"2018-04-27 00:00:00",638021,444255,58142,1861128
"2018-04-28 00:00:00",671635,465955,65312,2028515
"2018-04-29 00:00:00",665584,473796,66845,1978515
"2018-04-30 00:00:00",672306,455403,60669,1990013
"2018-05-01 00:00:00",673089,435923,57985,1920870
"2018-05-02 00:00:00",641728,401273,50534,1854643
"2018-05-03 00:00:00",632178,406918,46454,1599724
"2018-05-04 00:00:00",684080,436659,59584,2179344
"2018-05-05 00:00:00",722102,454436,62927,2120708
"2018-05-06 00:00:00",714768,443751,60036,1996661
"2018-05-07 00:00:00",656976,400741,47869,1823331
"2018-05-08 00:00:00",681052,416641,54614,1808215
"2018-05-09 00:00:00",766124,374213,58898,1807300
"2018-05-10 00:00:00",763122,386331,65002,1824830
"2018-05-11 00:00:00",787753,422768,71138,1838953
"2018-05-12 00:00:00",850371,435667,83671,1885965
"2018-05-13 00:00:00",831583,423090,80378,1725044
"2018-05-14 00:00:00",732975,386353,65915,1603647
"2018-05-15 00:00:00",731898,381411,65065,1582474
"2018-05-16 00:00:00",733331,386297,66452,1594080
"2018-05-17 00:00:00",739475,378731,63536,1567378
