"DateTime","Players","Players Trend","Twitch Viewers"
"2019-11-27 04:20:00",95482,89347.54921378965,8496
"2019-11-27 04:30:00",95919,89331.1469157084,8400
"2019-11-27 04:40:00",96133,89318.10586589959,8276
"2019-11-27 04:50:00",96082,89306.43278248124,8073
"2019-11-27 05:00:00",95383,89295.23700619402,7954
"2019-11-27 05:10:00",93889,89284.87936350463,7964
"2019-11-27 05:20:00",92572,89276.38435479993,7648
"2019-11-27 05:30:00",91351,89268.1764080502,7564
"2019-11-27 05:40:00",89655,89258.4178745958,7324
"2019-11-27 05:50:00",88001,89248.53198722146,6824
"2019-11-27 06:00:00",86335,89237.17002227128,6782
"2019-11-27 06:10:00",84502,89225.04542973028,6690
"2019-11-27 06:20:00",82856,89210.44106375184,6381
"2019-11-27 06:30:00",81706,89195.7916530099,6004
"2019-11-27 06:40:00",80743,89180.50653434798,5969
"2019-11-27 06:50:00",79417,89162.712417328,5733
"2019-11-27 07:00:00",78324,89145.16468610309,5595
"2019-11-27 07:10:00",77170,89126.2071356498,5617
"2019-11-27 07:20:00",76317,89106.83025310226,5163
"2019-11-27 07:30:00",75638,89087.56546901166,5340
"2019-11-27 07:40:00",74998,89067.9585069444,5213
"2019-11-27 07:50:00",74440,89047.01843106387,5434
"2019-11-27 08:00:00",74169,89026.11187289027,5183
"2019-11-27 08:10:00",73884,89006.05421902555,5022
"2019-11-27 08:20:00",73969,88986.86434998507,4787
"2019-11-27 08:30:00",74249,88967.4222255291,4947
"2019-11-27 08:40:00",74351,88947.09833337269,4246
"2019-11-27 08:50:00",74424,88926.54204259622,4449
"2019-11-27 09:00:00",74308,88906.07828776039,4381
"2019-11-27 09:10:00",74578,88886.00152013861,4276
"2019-11-27 09:20:00",74762,88864.44641362687,4250
"2019-11-27 09:30:00",74811,88842.18711356644,4219
"2019-11-27 09:40:00",75161,88820.62831502024,4219
"2019-11-27 09:50:00",75548,88798.56820063552,4372
"2019-11-27 10:00:00",75957,88777.95459551203,4411
"2019-11-27 10:10:00",76708,88756.9471781305,4084
"2019-11-27 10:20:00",77719,88736.2391237745,4203
"2019-11-27 10:30:00",78772,88715.35779900294,4218
"2019-11-27 10:40:00",79880,88693.07766940564,4294
"2019-11-27 10:50:00",81292,88672.19439835036,4221
"2019-11-27 11:00:00",82717,88651.84703069886,4270
"2019-11-27 11:10:00",84245,88633.95825535199,4127
"2019-11-27 11:20:00",86043,88617.53675845584,4082
"2019-11-27 11:30:00",87926,88601.96369766422,4238
"2019-11-27 11:40:00",89496,88586.69025573193,4279
"2019-11-27 11:50:00",91464,88579.30257936507,4322
"2019-11-27 12:00:00",93224,88572.36642278437,4321
"2019-11-27 12:10:00",95086,88565.89496527775,4239
"2019-11-27 12:20:00",96855,88559.5966435185,3904
"2019-11-27 12:30:00",98976,88556.25832231039,3809
"2019-11-27 12:40:00",100902,88553.49921461639,4027
"2019-11-27 12:50:00",103211,88552.29381613754,4172
"2019-11-27 13:00:00",105063,88549.81318204364,3297
"2019-11-27 13:10:00",107030,88547.07093253967,3452
"2019-11-27 13:20:00",108927,88546.76804315476,3579
"2019-11-27 13:30:00",110673,88546.65239197531,3637
"2019-11-27 13:40:00",112018,88546.3834876543,3684
"2019-11-27 13:50:00",113278,88547.46387235448,4067
"2019-11-27 14:00:00",114078,88550.693328373,4385
"2019-11-27 14:10:00",114398,88554.90133101851,4426
"2019-11-27 14:20:00",114886,88561.84201388888,4270
"2019-11-27 14:30:00",114744,88566.62356701939,4407
"2019-11-27 14:40:00",114098,88571.97111304014,4454
"2019-11-27 14:50:00",113186,88579.1281001984,4629
"2019-11-27 15:00:00",111083,88587.22790591931,4672
"2019-11-27 15:10:00",107743,88595.67584325395,4894
"2019-11-27 15:20:00",106463,88608.41288442459,5143
"2019-11-27 15:30:00",104683,88622.27416776895,5068
"2019-11-27 15:40:00",102488,88637.51308972662,5239
"2019-11-27 15:50:00",101293,88655.15972222222,5251
"2019-11-27 16:00:00",99919,88673.41492366622,5275
"2019-11-27 16:10:00",98276,88693.13843419311,5327
"2019-11-27 16:20:00",97106,88713.24776785714,5518
